PASSENGERS,UNIQUE_CARRIER,CARRIER_NAME,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,AIRCRAFT_TYPE,MONTH
5240.00,AA,American Airlines Inc.,11298,DFW,10244,AKL,889,3
5241.00,DL,Delta Air Lines Inc.,10397,ATL,14717,SCL,359,4
5241.00,UA,United Air Lines Inc.,12892,LAX,15092,SYD,889,9
5242.00,UA,United Air Lines Inc.,10292,AMS,12264,IAD,624,6
5243.00,DL,Delta Air Lines Inc.,11433,DTW,14293,PUJ,888,3
5243.00,DL,Delta Air Lines Inc.,14492,RDU,10920,CDG,624,10
5244.00,UA,United Air Lines Inc.,11032,CUN,12264,IAD,888,9
5245.00,DL,Delta Air Lines Inc.,12990,LIR,10397,ATL,622,10
5246.00,NK,Spirit Air Lines,14739,SDQ,11697,FLL,699,5
5246.00,YX,Republic Airline,16149,YOW,11618,EWR,673,8
5247.00,DL,Delta Air Lines Inc.,11433,DTW,11032,CUN,699,8
5247.00,UA,United Air Lines Inc.,12264,IAD,11760,FRA,637,2
5248.00,AS,Alaska Airlines Inc.,11032,CUN,14747,SEA,721,4
5248.00,DL,Delta Air Lines Inc.,11032,CUN,11433,DTW,699,7
5248.00,DL,Delta Air Lines Inc.,14286,PTY,10397,ATL,888,8
5248.00,NK,Spirit Air Lines,14838,SJO,13204,MCO,699,9
5249.00,DL,Delta Air Lines Inc.,10397,ATL,13605,NAS,622,8
5249.00,DL,Delta Air Lines Inc.,12972,LHR,10721,BOS,624,5
5249.00,PT,Piedmont Airlines,14100,PHL,16271,YYZ,675,9
5250.00,DL,Delta Air Lines Inc.,10411,AUA,12478,JFK,888,8
5250.00,F9,Frontier Airlines Inc.,10397,ATL,11032,CUN,699,2
5250.00,NK,Spirit Air Lines,14739,SDQ,11697,FLL,699,4
5250.00,NK,Spirit Air Lines,14838,SJO,13204,MCO,699,1
5251.00,AS,Alaska Airlines Inc.,11032,CUN,14747,SEA,721,5
5252.00,B6,JetBlue Airways,12478,JFK,14207,POP,694,6
